title,year,distributor,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
Wolfen,1981,Orion Pictures Corporation,10626725,-6373275,30141256.32637081,-18076925.4321958,3822562.949640288,17000000,48218181.75856661
FearDotCom,2002,Milagro Films,18902015,-21097985,27052425.126694437,-30195281.27221475,3258968.103448276,40000000,57247706.39890919
City By The Sea,2002,Warner Bros. Pictures,22433915,-17566085,32107254.48245212,-25140451.91645707,3867916.379310345,40000000,57247706.39890919
Swimfan,2002,Twentieth Century Fox Film Corporation,34411240,25911240,49249114.108559996,37083976.49879179,5932972.413793104,8500000,12165137.609768203
Barbershop,2002,Metro-Goldwyn-Mayer (MGM),75781642,63781642,108458129.79108113,91283817.87140837,13065800.344827587,12000000,17174311.919672757
The Transporter,2002,TF1 Films Productions,43928932,22928932,62870765.038841166,32815719.17941384,7573953.793103448,21000000,30055045.85942732
Igby Goes Down,2002,United Artists,4777465,-4222535,6837472.841276617,-6043261.09847795,823700.8620689656,9000000,12880733.939754566
Captain Ron,1992,Touchwood Pacific Partners 1,22518097,-1481903,41327330.954981804,-2719727.858183593,5426047.469879517,24000000,44047058.8131654
Spaced Invaders,1990,Touchstone Pictures,15369573,12369573,30159162.090445913,24272369.64205859,3739555.4744525542,3000000,5886792.448387326
Ballistic: Ecks vs. Sever,2002,Epsilon Motion Pictures,19924033,-50075967,28515129.786654446,-71668356.41143663,3435178.103448276,70000000,100183486.19809107
The Four Feathers,2002,Paramount Pictures,29882645,-5117355,42767822.18457079,-7323920.914474748,5152180.172413793,35000000,50091743.09904554
Trapped,2002,Senator Film Produktion,6916869,-23083131,9899372.142792914,-33036407.656388976,1192563.6206896552,30000000,42935779.79918189
Secretary,2002,Slough Pond,9304609,5304609,13316688.1047162,7591917.464825282,1604242.9310344828,4000000,5724770.6398909185
Sweet Home Alabama,2002,Touchstone Pictures,180622424,150622424,258505487.4552822,215569707.6561003,31141797.24137931,30000000,42935779.79918189
Moonlight Mile,2002,Punch Productions,10011050,-10988950,14327741.278619995,-15727304.580807328,1726043.103448276,21000000,30055045.85942732
Red Dragon,2002,Universal Pictures,209196298,131196298,299400206.1910678,187767178.7131949,36068327.24137931,78000000,111633027.47787291
Powaqqatsi,1988,IRE Productions,589244,-1910756,1276695.332056638,-4139971.329193362,147680.20050125313,2500000,5416666.66125
Valmont,1989,Renn Productions,1132112,-31867888,2354792.9588696994,-66285207.0081831,277478.43137254904,33000000,68639999.9670528
Knockaround Guys,2001,Lawrence Bender Productions,12000000,-3000000,17413953.490963936,-4353488.372740984,2123893.8053097343,15000000,21767441.86370492
Tuck Everlasting,2002,Walt Disney Pictures,19158074,4158074,27418894.888014395,5951004.988423448,3303116.206896552,15000000,21467889.899590947
Bowling for Columbine,2002,Alliance Atlantis Communications,35564473,31564473,50899612.71339832,45174842.073507406,6131805.689655173,4000000,5724770.6398909185
Punch-Drunk Love,2002,Columbia Pictures,17000000,-8000000,24330275.219536405,-11449541.279781837,2931034.4827586208,25000000,35779816.49931824
Swept Away,2002,Screen Gems,598645,-9401355,856776.3299293747,-13455150.269797921,103214.6551724138,10000000,14311926.599727297
Abandon,2002,Paramount Pictures,10719357,-14280643,15341465.0580273,-20438351.44129094,1848165,25000000,35779816.49931824
The Ring,2002,DreamWorks SKG,249348933,201348933,356866362.681632,288169115.00294095,42991195.344827585,48000000,68697247.67869103
Auto Focus,2002,Sony Pictures Classics,2062066,-4937934,2951213.7235793266,-7067134.896229781,355528.6206896552,7000000,10018348.619809108
Jason Goes to Hell: The Final Friday,1993,New Line Cinema,15938065,12938065,28415293.023375493,23066721.595782086,3785763.6579572447,3000000,5348571.427593404
Staying Alive,1983,Paramount Pictures,64892670,42892670,167326553.9721464,110599281.27112761,20600847.61904762,22000000,56727272.70101879
When Time Ran Out...,1980,Warner Bros.,3763988,-16236012,11743642.542149663,-50656357.36300234,1399252.0446096654,20000000,62399999.905152
Xanadu,1980,Universal Pictures,22471595,2471595,70111376.2934307,7711376.388278708,8353752.788104089,20000000,62399999.905152
Absence of Malice,1981,Columbia Pictures Corporation,40716963,28716963,115488113.09357832,81451749.49929601,14646389.568345325,12000000,34036363.594282314
Blow Out,1981,Cinema 77,12000000,-6000000,34036363.594282314,-17018181.797141157,4316546.762589929,18000000,51054545.39142347
Gallipoli,1981,The Australian Film Commission,11740000,8740000,33298909.04973953,24789818.15116895,4223021.582733814,3000000,8509090.898570579
The Hand,1981,Warner Bros.,566736,-5933264,1607469.379830765,-16828894.23373882,203861.87050359714,6500000,18436363.613569587
